strain	killed	phenotype
ECOR-01	0	0
ECOR-02	10	1
ECOR-03	0	0
ECOR-04	0	0
ECOR-05	1	0
ECOR-06	1	0
ECOR-07	1	0
ECOR-08	10	1
ECOR-09	1	0
ECOR-10	9	1
ECOR-11	10	1
ECOR-12	7	1
ECOR-13	1	0
ECOR-14	10	1
ECOR-15	2	0
ECOR-16	9	1
ECOR-17	0	0
ECOR-18	2	0
ECOR-19	0	0
ECOR-20	10	1
ECOR-21	1	0
ECOR-22	0	0
ECOR-23	0	0
ECOR-24	8	1
ECOR-25	0	0
ECOR-26	0	0
ECOR-27	0	0
ECOR-28	0	0
ECOR-29	0	0
ECOR-30	0	0
ECOR-31	10	1
ECOR-32	0	0
ECOR-33	9	1
ECOR-34	0	0
ECOR-35	10	1
ECOR-36	0	0
ECOR-37	1	0
ECOR-38	10	1
ECOR-39	10	1
ECOR-40	10	1
ECOR-41	10	1
ECOR-42	1	0
ECOR-43	10	1
ECOR-44	0	0
ECOR-45	0	0
ECOR-46	0	0
ECOR-47	1	0
ECOR-48	7	1
ECOR-49	8	1
ECOR-50	10	1
ECOR-51	8	1
ECOR-52	6	1
ECOR-53	9	1
ECOR-54	2	0
ECOR-55	10	1
ECOR-56	10	1
ECOR-57	7	1
ECOR-58	10	1
ECOR-59	10	1
ECOR-60	1	0
ECOR-61	10	1
ECOR-62	10	1
ECOR-63	10	1
ECOR-64	10	1
ECOR-65	10	1
ECOR-66	10	1
ECOR-67	1	0
ECOR-69	1	0
ECOR-70	8	1
ECOR-71	1	0
ECOR-72	10	1
NILS01	10	1
NILS02	0	0
NILS03	0	0
NILS04	0	0
NILS05	0	0
NILS06	0	0
NILS07	10	1
NILS08	1	0
NILS09	10	1
NILS10	0	0
NILS11	7	1
NILS12	10	1
NILS13	0	0
NILS14	0	0
NILS15	7	1
NILS16	0	0
NILS17	0	0
NILS18	10	1
NILS19	10	1
NILS20	4	1
NILS21	10	1
NILS22	10	1
NILS23	9	1
NILS24	0	0
NILS25	10	1
NILS26	9	1
NILS27	10	1
NILS28	10	1
NILS29	10	1
NILS30	0	0
NILS31	1	0
NILS32	10	1
NILS33	0	0
NILS34	10	1
NILS35	10	1
NILS36	5	1
NILS37	0	0
NILS38	0	0
NILS39	10	1
NILS40	0	0
NILS41	0	0
NILS42	10	1
NILS43	0	0
NILS44	10	1
NILS45	1	0
NILS46	9	1
NILS47	10	1
NILS48	9	1
NILS49	7	1
NILS50	9	1
NILS51	1	0
NILS52	10	1
NILS53	10	1
NILS54	9	1
NILS55	9	1
NILS56	10	1
NILS57	10	1
NILS58	10	1
NILS59	8	1
NILS60	6	1
NILS61	9	1
NILS62	10	1
NILS63	10	1
NILS64	8	1
NILS65	9	1
NILS66	10	1
NILS67	10	1
NILS68	10	1
NILS69	10	1
NILS70	10	1
NILS71	10	1
NILS72	7	1
NILS73	10	1
NILS74	9	1
NILS75	7	1
NILS76	10	1
NILS77	9	1
NILS78	10	1
NILS79	10	1
NILS80	10	1
NILS81	10	1
NILS82	10	1
IAI01	0	0
IAI02	0	0
IAI03	0	0
IAI04	0	0
IAI05	0	0
IAI06	0	0
IAI07	0	0
IAI08	0	0
IAI09	0	0
IAI10	0	0
IAI11	0	0
IAI12	0	0
IAI13	0	0
IAI14	0	0
IAI15	0	0
IAI16	0	0
IAI17	0	0
IAI18	0	0
IAI19	0	0
IAI20	0	0
IAI21	0	0
IAI22	0	0
IAI23	0	0
IAI24	0	0
IAI25	0	0
IAI26	0	0
IAI27	0	0
IAI28	0	0
IAI29	0	0
IAI30	0	0
IAI31	0	0
IAI32	0	0
IAI33	0	0
IAI34	0	0
IAI35	10	1
IAI36	10	1
IAI37	0	0
IAI38	10	1
IAI40	0	0
IAI41	0	0
IAI42	5	1
IAI43	0	0
IAI44	7	1
IAI45	0	0
IAI46	9	1
IAI47	0	0
IAI48	0	0
IAI49	10	1
IAI50	0	0
IAI51	10	1
IAI53	0	0
IAI54	0	0
IAI55	10	1
IAI56	9	1
IAI57	9	1
IAI58	9	1
IAI59	10	1
IAI60	0	0
IAI61	9	1
IAI62	10	1
IAI63	10	1
IAI64	10	1
IAI65	10	1
IAI66	9	1
IAI67	0	0
IAI68	3	1
IAI69	10	1
IAI70	10	1
IAI71	10	1
IAI72	10	1
IAI73	10	1
IAI74	10	1
IAI75	10	1
IAI76	3	1
IAI77	10	1
IAI78	5	1
IAI79	10	1
IAI80	10	1
IAI81	9	1
IAI82	10	1
EDL933	0	0
025-010	0	0
B6A1	0	0
LMR-3158	4	1
ROAR012	0	0
ROAR029	0	0
ROAR036	0	0
ROAR059	0	0
ROAR131	10	1
ROAR274	10	1
ROAR387	5	1
EC6230	0	0
